title,link,phone_number
Dr Humeira Badsha Medical Center,/company/363294/dr-humeira-badsha-medical-center,Not Found
Dr Rami Hamed center,/company/360041/dr-rami-hamed-center,Not Found
Dr. Thomas Dental Implant Clinic Dmcc,/company/349862/dr-thomas-dental-implant-clinic-dmcc,Not Found
First Medical Center,/company/359104/first-medical-center,Not Found
Gorgeous Smile Dental Center,/company/366049/gorgeous-smile-dental-center,Not Found
Laser Liposuction,/company/364195/laser-liposuction,Not Found
Medstar Healthcare LLC ,/company/366583/medstar-healthcare-llc,+971 4 387 9999
Dr. Joy Dental Clinic - Umm Suqeim,/company/360560/dr-joy-dental-clinic-umm-suqeim,+971 4 346 8333
Neuropedia,/company/363315/neuropedia,Not Found
Neuropedia,/company/362201/neuropedia,Not Found
Oris Dental Centre,/company/347779/oris-dental-centre,Not Found
Pediatric Neurologist in Dubai,/company/366133/pediatric-neurologist-in-dubai,+917551726462
Physio Evolution,/company/359450/physio-evolution,Not Found
Revitalife Drip,/company/361149/revitalife-drip,+971)4452 0646
Scandinavian Physiotherapy Center,/company/362256/scandinavian-physiotherapy-center,+971 4 551 6126
SES Smart Energy Solutions,/company/365233/ses-smart-energy-solutions,+971 4 886 2066
Shifa Al Jazeera Medical Centre Llc,/company/374124/shifa-al-jazeera-medical-centre-llc,+971- 65218889
Austin Center For Rehabilitation Of Person With Disabilities,/company/351899/austin-center-for-rehabilitation-of-person-with-disabilities,+971 6 561 7822
Al Fajer Trading L.L.C,/company/348134/al-fajer-trading-llc,Not Found
Al Manara International Hospital,/company/223817/al-manara-international-hospital,+971 58 622 0760
ART Medical Center,/company/347642/art-medical-center,+97165266885
Asala Medical Center,/company/358083/asala-medical-center,+97165688600
Ascent Education,/company/365437/ascent-education,Not Found
Child Early Intervention Medical Center,/company/347708/child-early-intervention-medical-center,+97144233667
Concorde Home Healthcare Center,/company/367743/concorde-home-healthcare-center,Not Found
Doctors in Dubai,/company/344890/doctors-in-dubai,+9714 348 7185
Drugless Healthcare,/company/362017/drugless-healthcare,Not Found
FirstMed Day Surgery Center,/company/353791/firstmed-day-surgery-center,+971 4 22 888 05
The Dental SPA Medical & Dental Center,/company/19028/the-dental-spa,+971 4 395 2005
Hasan Surgery,/company/355700/hasan-surgery,Not Found
Healing Wonders,/company/362026/healing-wonders,Not Found
MAG Clinic Dubai,/company/367361/mag-clinic-dubai,Not Found
Montreal International Clinic,/company/347936/montreal-international-clinic,+97143441132
Newcare Medical Center & Pharmacy - Ajman,/company/351919/newcare-medical-centerpharmacy-ajman,+971 6 7444 353
Perfect Smile Dental Clinic,/company/356087/perfect-smile-dental-clinic,+971-4-385-6100
Premium Cosmetic Laser Center,/company/356836/premium-cosmetic-laser-center,+971 4 3436550
Saudi German Hospital Sharjah,/company/361281/saudi-german-hospital-sharjah,+97143890000
Simplex Himes,/company/365888/simplex-himes,Not Found
Ziqitza GMR Ambulance Services,/company/347982/ziqitza-gulf-medical-response-and-ambulance-services,+971 4 324 5690
The All England Practice,/company/358500/the-all-england-practice,Not Found
Turning Point Group,/company/355441/turning-point-group,Not Found
Versaillesdentalclinic,/company/355965/versaillesdentalclinic,+971 4 4298288
"VPS Healthcare, Multi Specialty Hospital",/company/356383/vps-healthcare-multi-specialty-hospital,+971 02 304 1111
Abu Dhabi Personal Trainers,/company/355708/abu-dhabi-personal-trainers,+971507453129
Aesthetics International,/company/347284/aesthetics-international,Not Found
Al Maraas General Trading Company Dubai,/company/354380/al-maraas-general-trading-company-dubai,Not Found
American Upright MRI,/company/360171/american-upright-mri,Not Found
Blue Orb Cleaning Services,/company/350339/blue-orb-cleaning-services,Not Found
Doctor on Call,/company/361170/doctor-on-call,Not Found
Al Abrah Clinic,/company/18056/al-abrah-clinic,+971 4 226 3299
Dubai London Clinic and Speciality Hospital,/company/363003/dubai-london-clinic-and-speciality-hospital,Not Found
Euromed Clinic Center,/company/356482/euromed-clinic-center,+971 4 394 5422
Hasan Surgery,/company/365531/hasan-surgery,+971 4 55 413 55
IMC Medical Centre,/company/357155/imc-medical-centre,Not Found
Infinity International Facilities Management LLC,/company/355122/infinity-international-facilities-management-llc,+971 2 203 1000
Lung Surgery Uae,/company/362212/lung-surgery-uae,Not Found
Miha Bodytec,/company/360291/miha-bodytec,+971543449993
QuirÃ³nsalud Eye Hospital Dubai,/company/362088/quirnsalud-eye-hospital-dubai,Not Found
Right Medical Centre,/company/355131/right-medical-centre,Not Found
Altima Medical Center ,/company/366762/altima-medical-center,+971 55 464 6315
SunFace Medical Aesthetic Centre,/company/367541/sunface-medical-aesthetic-centre,+971 424 63054
The British Clinic,/company/347048/the-british-clinic,Not Found
The Nova Clinic,/company/354840/the-nova-clinic,+971 4 346 9888
The Lounge,/company/345569/the-lounge,+971 2 667 7377
Adam & Eve Specialized Medical Centre,/company/355094/adameve-specialized-medical-centre,Not Found
Ahlan medical center,/company/362487/ahlan-medical-center,Not Found
Al Dehyafa Specialized Orthodontic and Dental Clinic,/company/333573/al-dehyafa-specialized-orthodontic-and-dental-clinic,Not Found
Al Fareed Real Estate Investment Centre Ajman,/company/346113/al-fareed-real-estate-ajman,Not Found
Al Khaleej Medical Centre,/company/17624/al-khaleej-medical-centre,+971 3 764 3885
Eye 2 Eye Optics Trading LLC,/company/346467/eye-2-eye-optics-trading-llc,+971 52 887 2182
Tristan White Osteopath,/company/375464/tristan-white-osteopath,+971585762079
Advanced Orthospine Health Center,/company/354123/advanced-orthospine-health-center,+971 4 344 4828
Abdul Aziz Medical Center,/company/351045/abdul-aziz-medical-center,+971 56 499 4545
Sunny Sharqan Medical Centre ,/company/354307/sunny-sharqan-medical-centre,+971 6 566 7996
Dr Mallya's Dental Clinic,/company/18511/dr-mallyas-dental-clinic,+971 4 351 2525
Ilham Dental Clinic,/company/18741/ilham-dental-clinic,+971 4 297 4003
The Dental Lounge,/company/19027/the-dental-lounge,+971 4 345 1435
Emirates Home Nursing,/company/154031/emirates-home-nursing,+971 800 687 7464
Al-Ain Modern Medical Group (AMMG),/company/25754/al-ain-modern-medical-group,+971 3 765 4454
The Noble Dental Clinic,/company/30328/the-noble-dental-clinic,+971 2 634 4334
Co Recare Physio,/company/375481/co-recare-physio,Not Found
I Smile Dental Center LLC,/company/350957/i-smile-dental-center-llc,+971 7 233 9944
Adam & Eve Specialized Medical Centre,/company/357316/adameve-specialized-medical-centre,+971 2 6767 366
KindCare Medical Center,/company/353757/kindcare-medical-center,+971 4 338 8588
Exclusive General Trading Co.,/company/355986/exclusive-general-trading,+971 2 674 0009
AL Afdal Medical Center,/company/352212/al-afdal-medical-center,Not Found
Ibtisamty Dental Clinic ,/company/343954/ibtisamty-dental-clinic,+971 6 550 3558
Standard Medical Clinic,/company/19007/standard-medical-clinic,+971 4 328 1112
Modular Concepts Electromechanical LLC,/company/64805/modular-concepts-electromechanical-llc,+971 4 388 4838
Medeor 24x7 International Hospital - Al Ain,/company/354643/medeor-24x7-international-hospital-al-ain,+971 800 55
Dazzle General Trading Fze,/company/350710/dazzle-general-trading-fze,+971 6 744 9335
Trucare Plus Home Healthcare LLC,/company/375482/trucare-plus-home-healthcare-llc,+97142255116
Call My Doctor Health Care LLC,/company/375487/call-my-doctor-health-care-llc,+971 4 549 0700
Orion Family Medical Centre LLC,/company/347688/orion-family-medical-centre-l-lc,+971 4 459 9904
Al Elaj Medical Equipment,/company/349515/al-elaj-medical-equipment-tr,+971 65 591 985
Precision Dental Clinic - Dubai,/company/362733/precision-dental-clinic-dubai,+971 4 275 6731
Al Bawadi Medical & Diagnostic Center,/company/347083/al-bawadi-medicaldiagnostic-center,+971 6 567 1707
British American Healthcare,/company/349022/british-american-healthcare,+971 2 621 0040
Dubai Herbal and Treatment Centre,/company/319798/dubai-herbal-and-treatment-centre,+971-4-3351200
Paramed International FZCO,/company/345403/paramed-international,+971 4 886 5665
Abrahams Medical Centre,/company/18028/abrahams-medical-centre,+971 6-561-2737
Al Falah Veterinary Clinic,/company/374579/al-falah-veterinary-clinic,+97143210660
Al Lulu Medical Center,/company/364981/al-lulu-medical-center,+971 6 564 6252
Al Noor Hospital - Khalifa Street,/company/17631/al-noor-hospital-khalifa-street,+971 2-626-5265
Al Noor Hospital - Airport Road,/company/17629/al-noor-hospital-airport-road,+971 2-444-6655
Al Wasl Hospital,/company/17639/al-wasl-hospital,+971 4-324-1111
Ben Hussain Aluminium & Glass Factory ,/company/349527/ben-hussain-aluminiumglass-factory,+971 6 743 6443
Dr Ashok Menon Clinic,/company/18451/dr-ashok-menon-clinic,+971 6-553-0557
Rashid Hospital,/company/17690/rashid-hospital,+971 4 337 1111
Zulekha Hospital Dubai,/company/17709/zulekha-hospital,+971 4-267-8866
Al Hayat Pharmaceuticals,/company/30902/al-hayat-pharmaceuticals,+971 2 642 4515
BounceBack Physiotherapy Treatment Centre LLC,/company/367587/bounceback-physiotherapy-treatment-centre-llc,+971 2 565 1212
Al Rahat Medical Centre,/company/30368/al-rahat-medical-centre,+971 2 633 3924
Canadian Medical Centre Abu Dhabi,/company/299512/canadian-medical-centre-l-l-c,Not Found
Chr Hansen Middle East Fzco,/company/147643/chr-hansen-middle-east-fzco,+97144550300
Daman Investments (PSC),/company/103158/daman-investments-psc,+971 4 332 4140
Dr. Al Rustom's Clinic,/company/153116/dr-al-rustoms-clinic,+971 4 308 4000
Menasco Mechanical Contracting LLC,/company/46519/menasco-mechanical-contracting-llc,+971 4 2611167
Paramed International FZCO,/company/345252/paramed-international-fzco,+971 4 886 5665
Prime Medical Centre - Deira,/company/18925/prime-medical-centre-deira,+971 4 7070999
Al Khajah Medical Center ,/company/222958/al-khaja-medical-clinic,+971 6 556 2200
Eyewa,/company/367820/eyewa,+971 4 247 2979
AL Maria Medical Centre,/company/30366/al-maria-medical-centre,+971 2 633 1330
Al Noor Polyclinic - Satwa,/company/18195/al-noor-polyclinic-satwa,+971 4 349 8100
Bhatia Medical Centre,/company/17647/bhatia-medical-centre,+971 6 575 3888
German Medical Centre,/company/18678/german-medical-centre,+971 6-745-8100
Kottakkal Ayurvedic Centre,/company/153252/kottakkal-ayurvedic-centre,+971 4 273 4749
Toothsmiths Dental Centre,/company/348116/toothsmiths-dental-centre,Not Found
Vesta Care Home Health Care Center,/company/374414/vesta-care,+971522704729
Ahalia Medical Centre - Baniyas,/company/18045/ahalia-medical-centre-baniyas,+971 2-551-0606
Al Hosn Medical Centre,/company/18124/al-hosn-medical-centre,+971 2 666 5557
Al Zahrawi Hospital,/company/17642/al-zahrawi-hospital,+971-7-228-8544
Dr.Mahaveer Mehta Medical Center,/company/345822/drmahaveer-mehta-medical-center,+971 4 228 2444
American Hospital Dubai,/company/17643/american-hospital-dubai,+971 4 336 7777
Amico Enterprises FZE,/company/93524/amico-enterprises-fze,+971 4 883 5944
Burj Khalifa Dubai,/company/102072/burj-khalifa-llc,+971 4 888 8888
Dr. Michael's Dental Clinic,/company/362552/dr-michaels-dental-clinic,+97143949433
Gulf Diagnostic Center Hospital,/company/17663/gulf-diagnostic-center-hospital,+971 2-665-8090
Hamdan Medical Centre,/company/18710/hamdan-medical-centre,+971 3-765-4797
Mulk Physiotherapy Center,/company/356351/mulk-physiotherapy-center,Not Found
Al Kanary Medical Clinic,/company/18143/al-kanary-medical-clinic,+971 6 534 4439
Canadian Specialist Hospital,/company/17648/canadian-specialist-hospital,+971 4 707 2222
Laser Skin Care Clinic,/company/352418/laser-skin-care-clinic,+971 55 131 0091
Medcare Medical Centre - Mirdif City Centre,/company/18826/medcare-medical-centre-mirdif-city-centre,+971 800 6332273
Oasis Hospital,/company/17686/oasis-hospital,+971 3 713 1111
Rheumatology Medical Rehabilitation & Physiotherapy Clinic,/company/344618/rheumatology-medical-rehabilitationphysiotherapy-clinic,Not Found
ConfiDent Dental & Skin Care Clinic,/company/354803/confident-dentalskin-care-clinic,+97143433315
Homeopathic Medical Specialized Clinic (HMC),/company/30281/homeopathic-medical-specialized-clinic-hmc,+971 2 621 0400
Abronn FZE,/company/362223/abronn-fze,+971 4 884 4860
AL Rukn Medical Center,/company/361681/al-rukn-medical-center,+971 6 748 2005
Dr Fathi Emara Polyclinic,/company/18460/dr-fathi-emara-polyclinic,Not Found
Dr Koya's Clinic,/company/18500/dr-koyas-clinic,+971 4-222-5854
Stepping Stones Center ,/company/354407/stepping-stones-center,+971 4 363 5433
